entity_id,canonical_name,type,synonyms,codes
E_OGTT,Oral glucose tolerance test (OGTT),Test,ogtt|oral glucose tolerance test|2-hour ogtt|75 g ogtt|75g ogtt|glucose tolerance test,
E_FPG,Fasting plasma glucose (FPG),Test,fpg|fasting plasma glucose|fasting glucose,
E_HBA1C,HbA1c,Test,hba1c|glycated hemoglobin|a1c,
E_SCREEN_WINDOW,Screening window 24–28 weeks,GuidelineConcept,24-28 weeks|24–28 weeks|weeks 24 and 28|second trimester screening window,
E_POSTPARTUM_OGTT,Postpartum OGTT 4–12 weeks,GuidelineConcept,4-12 weeks postpartum|4–12 weeks postpartum|6-12 weeks postpartum|postpartum ogtt|postpartum glucose tolerance test,
E_MACROSOMIA,Fetal macrosomia / LGA,NeonatalOutcome,macrosomia|large for gestational age|lga|big baby,
E_NEONATAL_HYPOGLYC,Neonatal hypoglycemia,NeonatalOutcome,neonatal hypoglycemia|hypoglycaemia|low blood sugar in newborn,
E_PREECLAMPSIA,Preeclampsia,MaternalOutcome,preeclampsia|pre-eclampsia|pregnancy hypertension,
E_CSECTION,Cesarean delivery,MaternalOutcome,cesarean|c-section|caesarean|operative delivery,
E_PLACENTAL_HORMONES,Placental hormones,Mechanism,placental hormones|human placental lactogen|hpl|progesterone|cortisol|estrogen,
E_INSULIN_RESIST,Insulin resistance,Mechanism,insulin resistance|reduced insulin sensitivity,
E_BETACELL,Beta-cell compensation,Mechanism,beta cell|beta-cell|insulin secretion compensation|beta cell adaptation,
E_SMBG,Self-monitoring blood glucose (SMBG),Monitoring,smbg|self monitoring blood glucose|fingerstick glucose,
E_CGM,Continuous glucose monitoring (CGM),Monitoring,cgm|continuous glucose monitoring,
E_INSULIN_TX,Insulin therapy,Treatment,insulin|insulin therapy|basal bolus|insulin commenced,
E_METFORMIN,Metformin,Treatment,metformin,
E_LIFESTYLE,Lifestyle and diet therapy,Treatment,diet|lifestyle|exercise|medical nutrition therapy|mnt,
E_TYPE2_RISK,Type 2 diabetes risk after GDM,LongTerm,type 2 diabetes|t2dm|future diabetes risk|long-term risk,
E_SHOULDER_DYSTOCIA,Shoulder dystocia,NeonatalOutcome,shoulder dystocia,
E_POLYHYDRAMNIOS,Polyhydramnios,MaternalOutcome,polyhydramnios,
E_PRETERM,Preterm birth,NeonatalOutcome,preterm|prematurity,
E_RDS,Respiratory distress syndrome,NeonatalOutcome,respiratory distress|surfactant deficiency,
E_HYPERBILI,Hyperbilirubinemia,NeonatalOutcome,hyperbilirubinemia|jaundice,
E_POLYCY,Polycythemia,NeonatalOutcome,polycythemia,
E_HYPOCALC,Hypocalcemia,NeonatalOutcome,hypocalcemia,
E_HYPOMAG,Hypomagnesemia,NeonatalOutcome,hypomagnesemia,
E_OBESITY,Maternal obesity,RiskFactor,obesity|bmi,
E_AGE,Advanced maternal age,RiskFactor,maternal age|advanced age,
E_FH_DM,Family history of diabetes,RiskFactor,family history|fhx diabetes,
E_PRIOR_GDM,Prior gestational diabetes,RiskFactor,prior gdm|history of gdm,
E_PCOS,Polycystic ovary syndrome,RiskFactor,pcos|polycystic ovary,
E_HYPERTENSION,Hypertension,RiskFactor,hypertension|high blood pressure,
E_GLY_TARGETS,Glycemic targets in pregnancy,GuidelineConcept,pre-prandial|post-prandial|targets|95 mg/dl|140 mg/dl,
E_GDM,Gestational diabetes mellitus (GDM),Condition,gdm|gestational diabetes|gestational diabetes mellitus,
E_T1DM,Type 1 diabetes,Condition,type 1 diabetes|t1dm,
E_T2DM,Type 2 diabetes,Condition,type 2 diabetes|t2dm,
E_HYPERGLYC,Maternal hyperglycemia,Mechanism,hyperglycemia|high blood glucose|maternal glucose,
E_PEDERSEN,Pedersen hypothesis,Mechanism,pedersen hypothesis|modified pedersen,
E_FETAL_INSULIN,Fetal hyperinsulinemia,Mechanism,fetal hyperinsulin|foetal hyperinsulinaemia|fetal insulin,
E_STILLBIRTH,Stillbirth,NeonatalOutcome,stillbirth|intrauterine fetal death|iufd,
E_BIRTH_TRAUMA,Birth trauma,NeonatalOutcome,birth trauma|traumatic delivery,
E_NICU,NICU admission,NeonatalOutcome,nicu|neonatal icu,
E_SHOULDER,Shoulder dystocia,NeonatalOutcome,shoulder dystocia,
E_PPH,Postpartum hemorrhage,MaternalOutcome,postpartum hemorrhage|pph,
E_GWG,Gestational weight gain,RiskFactor,weight gain|gestational weight gain,
E_ETHNICITY,High-risk ethnicity,RiskFactor,south asian|hispanic|african|high risk ethnicity,
E_GTT_50G,50g glucose challenge test,Test,50g glucose challenge|gct|glucose challenge test,
E_OGTT_100G,100g OGTT (3-hour),Test,100g ogtt|3-hour ogtt|three hour ogtt,
E_IADPSG,IADPSG criteria,GuidelineConcept,iadpsg,
E_CARPENTER,Carpenter-Coustan criteria,GuidelineConcept,carpenter coustan|carpenter-coustan,
E_NDDG,NDDG criteria,GuidelineConcept,nddg,
E_WHO,WHO criteria,GuidelineConcept,who criteria,
E_ADA,ADA criteria,GuidelineConcept,ada criteria,
E_NICE,NICE guidance,GuidelineConcept,nice guidance|nhs guidance,
E_DIET,Medical nutrition therapy,Treatment,medical nutrition therapy|diet therapy|carbohydrate control,
E_EXERCISE,Exercise,Treatment,exercise|moderate exercise|physical activity,
E_INSULIN_SENS,Postpartum return of insulin sensitivity,Mechanism,return of insulin sensitivity|postpartum insulin sensitivity,
E_BP,Blood pressure monitoring,Monitoring,blood pressure|bp monitoring,
E_FETAL_GROWTH,Fetal growth surveillance,Monitoring,fetal growth|ultrasound|growth scan,
E_A1C_POSTPARTUM,HbA1c postpartum limitation,GuidelineConcept,hba1c not recommended|first 6 months postpartum|rbc turnover,
E_RESCRN,Lifelong rescreening,GuidelineConcept,every 1-3 years|rescreening|lifelong follow up,
E_PRECONCEPTION,Preconception counseling/testing,GuidelineConcept,preconception|before next pregnancy,
E_KETOACID,Ketoacidosis,MaternalOutcome,ketoacidosis|dka,
E_SGA,Small for gestational age,NeonatalOutcome,sga|small for gestational age,
E_HYPOGLYC_MAT,Maternal hypoglycemia,MaternalOutcome,maternal hypoglycemia,
E_HYPER,Hypertension disorders of pregnancy,MaternalOutcome,gestational hypertension|hypertensive disorders,
E_RETINOP,Retinopathy,MaternalOutcome,retinopathy,
E_NEUROPATHY,Neuropathy,MaternalOutcome,neuropathy,
E_NEONATAL_CALC,Neonatal electrolyte disturbances,NeonatalOutcome,hypocalcemia|hypomagnesemia,
